,,,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",5.4882812
,,,"jinrikisha, ricksha, rickshaw",5.0
,,,fig,4.2539062
,,,Windsor tie,4.1875
mobilenet_v2_0.75_224,label,0.00902867317199707
,,,window shade,7.4296875
,,,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",5.3007812
,,,"flagpole, flagstaff",4.8007812
,,,"jinrikisha, ricksha, rickshaw",4.7265625
,,,"laptop, laptop computer",4.4101562
mobilenet_v2_0.75_224,label,0.009100914001464844
,,,window shade,7.21875
,,,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",5.0820312
,,,"jinrikisha, ricksha, rickshaw",4.6328125
,,,fig,4.4609375
,,,"flagpole, flagstaff",4.078125
mobilenet_v2_0.75_224,label,0.009028911590576172
,,,window shade,7.6132812
,,,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",5.6054688
,,,"jinrikisha, ricksha, rickshaw",4.9453125
,,,"flagpole, flagstaff",4.3007812
,,,fig,4.0742188
mobilenet_v2_0.75_224,label,0.008900880813598633
,,,window shade,7.2460938
,,,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",5.2617188
,,,"jinrikisha, ricksha, rickshaw",4.890625
,,,fig,4.5859375
,,,"laptop, laptop computer",4.484375
mobilenet_v2_0.75_224,label,0.009057760238647461
,,,window shade,7.453125
,,,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",5.4648438
,,,"laptop, laptop computer",4.7265625
,,,fig,4.6796875
,,,"flagpole, flagstaff",4.4257812
mobilenet_v2_0.75_224,label,0.009090423583984375
,,,window shade,7.5820312
,,,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",5.5117188
,,,"jinrikisha, ricksha, rickshaw",4.7109375
,,,"flagpole, flagstaff",4.4453125
,,,"laptop, laptop computer",4.4023438
mobilenet_v2_0.75_224,label,0.009502410888671875
,,,window shade,7.203125
