ModelName,Label,InferenceTime,Recognition,Accuracy
mobilenet_v3_1.0_224_small_uint8,label,0.12578248977661133
,,,digital clock,5.346256
,,,spotlight,5.110391
,,,nematode,4.245556
,,,match,3.852449
,,,window screen,3.5379634
mobilenet_v3_1.0_224_small_uint8,label,0.12567806243896484
,,,digital clock,5.6607413
,,,spotlight,5.2676344
,,,window screen,4.245556
,,,nematode,4.1669345
,,,oscilloscope,3.9310703
mobilenet_v3_1.0_224_small_uint8,label,0.1256711483001709
,,,digital clock,5.6607413
,,,spotlight,5.0317698
,,,nematode,4.5600414
,,,window screen,4.088313
,,,match,4.0096917
mobilenet_v3_1.0_224_small_uint8,label,0.12492489814758301
,,,digital clock,5.5034986
,,,spotlight,5.110391
,,,nematode,4.088313
,,,window screen,3.852449
,,,match,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.12487387657165527
,,,digital clock,5.58212
,,,spotlight,5.424877
,,,nematode,4.245556
,,,window screen,4.088313
,,,match,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.12476563453674316
,,,digital clock,5.7393627
,,,spotlight,5.424877
,,,window screen,4.245556
,,,nematode,4.0096917
,,,oscilloscope,4.0096917
mobilenet_v3_1.0_224_small_uint8,label,0.12491130828857422
,,,digital clock,5.6607413
,,,spotlight,5.5034986
,,,nematode,4.5600414
,,,match,4.245556
,,,window screen,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.12492918968200684
,,,digital clock,5.6607413
,,,spotlight,5.346256
,,,nematode,4.3241773
,,,match,4.088313
,,,oscilloscope,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.12493896484375
,,,digital clock,5.58212
,,,spotlight,5.1890125
,,,nematode,4.1669345
,,,match,4.088313
,,,wing,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.1249237060546875
,,,digital clock,5.346256
,,,spotlight,5.1890125
,,,nematode,4.48142
,,,match,3.9310703
,,,oscilloscope,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.1249840259552002
,,,digital clock,5.346256
,,,spotlight,5.1890125
,,,nematode,4.1669345
,,,match,3.852449
,,,window screen,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.12571024894714355
,,,digital clock,5.5034986
,,,spotlight,5.2676344
,,,nematode,4.874527
,,,match,4.088313
,,,wing,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.12513995170593262
,,,digital clock,5.5034986
,,,spotlight,5.110391
,,,nematode,4.3241773
,,,window screen,3.6165848
,,,oscilloscope,3.5379634
mobilenet_v3_1.0_224_small_uint8,label,0.12481117248535156
,,,digital clock,5.2676344
,,,spotlight,5.110391
,,,nematode,4.245556
,,,window screen,3.852449
,,,match,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.12473750114440918
,,,digital clock,5.58212
,,,spotlight,5.110391
,,,nematode,4.5600414
,,,match,4.3241773
,,,window screen,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.12482810020446777
,,,digital clock,5.346256
,,,spotlight,5.2676344
,,,nematode,4.48142
,,,match,4.088313
,,,wing,3.5379634
mobilenet_v3_1.0_224_small_uint8,label,0.12492084503173828
,,,digital clock,5.346256
,,,spotlight,5.110391
,,,nematode,4.088313
,,,match,3.852449
,,,window screen,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.12480688095092773
,,,digital clock,5.5034986
,,,spotlight,5.2676344
,,,nematode,4.088313
,,,window screen,3.852449
,,,wing,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.12496018409729004
,,,digital clock,5.58212
,,,spotlight,5.0317698
,,,nematode,4.5600414
,,,window screen,4.1669345
,,,match,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.12599396705627441
,,,spotlight,5.110391
,,,digital clock,5.110391
,,,nematode,4.1669345
,,,match,4.088313
,,,wing,3.459342
mobilenet_v3_1.0_224_small_uint8,label,0.12557649612426758
,,,digital clock,5.58212
,,,spotlight,5.2676344
,,,nematode,4.7959056
,,,match,3.852449
,,,window screen,3.6165848
mobilenet_v3_1.0_224_small_uint8,label,0.12477612495422363
,,,digital clock,5.58212
,,,spotlight,5.424877
,,,nematode,4.5600414
,,,match,3.9310703
,,,oscilloscope,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.1249234676361084
,,,spotlight,5.346256
,,,digital clock,5.2676344
,,,nematode,3.9310703
,,,match,3.6952062
,,,window screen,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.12559199333190918
,,,spotlight,5.346256
,,,digital clock,5.2676344
,,,window screen,4.0096917
,,,nematode,4.0096917
,,,match,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.12492799758911133
,,,digital clock,5.6607413
,,,spotlight,5.2676344
,,,nematode,4.717284
,,,oscilloscope,4.0096917
,,,match,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.12512874603271484
,,,digital clock,5.817984
,,,spotlight,5.110391
,,,nematode,4.638663
,,,oscilloscope,4.3241773
,,,window screen,4.088313
mobilenet_v3_1.0_224_small_uint8,label,0.12493896484375
,,,spotlight,5.110391
,,,digital clock,5.110391
,,,window screen,3.9310703
,,,oscilloscope,3.6952062
,,,nematode,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.12585806846618652
,,,digital clock,5.6607413
,,,spotlight,5.346256
,,,nematode,4.48142
,,,window screen,4.1669345
,,,oscilloscope,4.0096917
mobilenet_v3_1.0_224_small_uint8,label,0.12526559829711914
,,,digital clock,5.6607413
,,,spotlight,4.9531484
,,,nematode,4.4027987
,,,match,3.9310703
,,,oscilloscope,3.9310703
mobilenet_v3_1.0_224_small_uint8,label,0.1255035400390625
,,,digital clock,5.6607413
,,,spotlight,5.110391
,,,nematode,4.245556
,,,match,4.088313
,,,window screen,3.5379634
mobilenet_v3_1.0_224_small_uint8,label,0.12497425079345703
,,,digital clock,5.58212
,,,spotlight,5.0317698
,,,nematode,4.5600414
,,,window screen,4.0096917
,,,oscilloscope,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.12602567672729492
,,,digital clock,5.5034986
,,,spotlight,5.110391
,,,nematode,4.3241773
,,,match,4.0096917
,,,window screen,3.6165848
mobilenet_v3_1.0_224_small_uint8,label,0.12511157989501953
,,,digital clock,5.5034986
,,,spotlight,5.424877
,,,match,4.0096917
,,,nematode,4.0096917
,,,window screen,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.12504982948303223
,,,digital clock,5.2676344
,,,spotlight,5.110391
,,,nematode,4.1669345
,,,match,3.852449
,,,wing,3.3807206
mobilenet_v3_1.0_224_small_uint8,label,0.12575674057006836
,,,digital clock,5.346256
,,,spotlight,5.0317698
,,,nematode,4.088313
,,,match,3.852449
,,,wing,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.12544775009155273
,,,digital clock,5.8966055
,,,spotlight,5.346256
,,,nematode,4.3241773
,,,window screen,3.9310703
,,,oscilloscope,3.7738276
