ModelName,Label,InferenceTime,Recognition,Accuracy
mobilenet_v2_1.0_160,label,0.07761931419372559
,,,digital clock,5.7411027
,,,nematode,5.246408
,,,match,4.9421463
,,,velvet,4.5482583
,,,barn spider,3.9064867
mobilenet_v2_1.0_160,label,0.07528567314147949
,,,digital clock,5.779191
,,,nematode,5.2585917
,,,match,4.9644985
,,,velvet,4.565824
,,,barn spider,3.916534
mobilenet_v2_1.0_160,label,0.0766599178314209
,,,digital clock,5.724926
,,,nematode,5.2295895
,,,match,4.939187
,,,velvet,4.5450983
,,,barn spider,3.9043868
mobilenet_v2_1.0_160,label,0.0731201171875
,,,digital clock,5.750146
,,,nematode,5.2527647
,,,match,4.939517
,,,velvet,4.5684366
,,,barn spider,3.9125855
mobilenet_v2_1.0_160,label,0.07909917831420898
,,,digital clock,5.7612906
,,,nematode,5.2579904
,,,match,4.9813814
,,,velvet,4.544658
,,,barn spider,3.8977492
mobilenet_v2_1.0_160,label,0.0741586685180664
,,,digital clock,5.7674975
,,,nematode,5.2374516
,,,match,4.959754
,,,velvet,4.5467987
,,,barn spider,3.9040756
mobilenet_v2_1.0_160,label,0.07822060585021973
,,,digital clock,5.7537227
,,,nematode,5.2364388
,,,match,4.965164
,,,velvet,4.5479
,,,barn spider,3.8990047
mobilenet_v2_1.0_160,label,0.07628726959228516
,,,digital clock,5.759421
,,,nematode,5.2529645
,,,match,4.9481077
,,,velvet,4.5654144
,,,barn spider,3.915663
mobilenet_v2_1.0_160,label,0.07497859001159668
,,,digital clock,5.754732
,,,nematode,5.2352614
,,,match,4.9495773
,,,velvet,4.5345497
,,,barn spider,3.9031026
mobilenet_v2_1.0_160,label,0.08056259155273438
,,,digital clock,5.7527194
,,,nematode,5.218851
,,,match,4.9371557
,,,velvet,4.500182
,,,barn spider,3.9040322
mobilenet_v2_1.0_160,label,0.07782697677612305
,,,digital clock,5.763574
,,,nematode,5.235802
,,,match,4.948821
,,,velvet,4.5245676
,,,barn spider,3.901573
mobilenet_v2_1.0_160,label,0.07941126823425293
,,,digital clock,5.750006
,,,nematode,5.2226763
,,,match,4.967408
,,,velvet,4.5174975
,,,barn spider,3.8844752
mobilenet_v2_1.0_160,label,0.07104229927062988
,,,digital clock,5.7684155
,,,nematode,5.2262774
,,,match,4.9578333
,,,velvet,4.542299
,,,barn spider,3.9165592
mobilenet_v2_1.0_160,label,0.07743644714355469
,,,digital clock,5.7492714
,,,nematode,5.2491465
,,,match,4.986973
,,,velvet,4.558263
,,,barn spider,3.916367
mobilenet_v2_1.0_160,label,0.07977747917175293
,,,digital clock,5.759741
,,,nematode,5.2378483
,,,match,4.971136
,,,velvet,4.554459
,,,barn spider,3.9039066
mobilenet_v2_1.0_160,label,0.07668733596801758
,,,digital clock,5.7404313
,,,nematode,5.253399
,,,match,4.937893
,,,velvet,4.5711226
,,,barn spider,3.9263287
mobilenet_v2_1.0_160,label,0.07624268531799316
,,,digital clock,5.7795334
,,,nematode,5.2454076
,,,match,4.9745684
,,,velvet,4.539351
,,,barn spider,3.9112432
mobilenet_v2_1.0_160,label,0.07496857643127441
,,,digital clock,5.753356
,,,nematode,5.2434497
,,,match,4.9424105
,,,velvet,4.5448775
,,,barn spider,3.9125443
mobilenet_v2_1.0_160,label,0.07617759704589844
,,,digital clock,5.741696
,,,nematode,5.2439055
,,,match,4.9481363
,,,velvet,4.5548587
,,,barn spider,3.90195
mobilenet_v2_1.0_160,label,0.07671141624450684
,,,digital clock,5.763102
,,,nematode,5.249582
,,,match,4.972726
,,,velvet,4.536191
,,,barn spider,3.9127226
mobilenet_v2_1.0_160,label,0.080413818359375
,,,digital clock,5.782988
,,,nematode,5.2604575
,,,match,4.97725
,,,velvet,4.563626
,,,barn spider,3.9238238
mobilenet_v2_1.0_160,label,0.07691454887390137
,,,digital clock,5.743581
,,,nematode,5.220969
,,,match,4.96233
,,,velvet,4.535144
,,,barn spider,3.9009247
mobilenet_v2_1.0_160,label,0.08014082908630371
,,,digital clock,5.7748475
,,,nematode,5.2439294
,,,match,4.9676447
,,,velvet,4.5485883
,,,barn spider,3.9250317
mobilenet_v2_1.0_160,label,0.0768280029296875
,,,digital clock,5.7745976
,,,nematode,5.2545824
,,,match,4.9689665
,,,velvet,4.5569673
,,,barn spider,3.9119413
mobilenet_v2_1.0_160,label,0.07527494430541992
,,,digital clock,5.7379546
,,,nematode,5.2363324
,,,match,4.938079
,,,velvet,4.575275
,,,barn spider,3.9113083
mobilenet_v2_1.0_160,label,0.0795743465423584
,,,digital clock,5.7551026
,,,nematode,5.253306
,,,match,4.979087
,,,velvet,4.5466456
,,,barn spider,3.9292061
mobilenet_v2_1.0_160,label,0.08208537101745605
,,,digital clock,5.7349916
,,,nematode,5.237807
,,,match,4.9372177
,,,velvet,4.55593
,,,barn spider,3.9039218
mobilenet_v2_1.0_160,label,0.07676315307617188
,,,digital clock,5.7677283
,,,nematode,5.2550592
,,,match,4.964219
,,,velvet,4.538559
,,,barn spider,3.9176476
mobilenet_v2_1.0_160,label,0.07786965370178223
,,,digital clock,5.7276015
,,,nematode,5.2277384
,,,match,4.92799
,,,velvet,4.551919
,,,barn spider,3.904093
mobilenet_v2_1.0_160,label,0.07762360572814941
,,,digital clock,5.7699795
,,,nematode,5.2569423
,,,match,4.980858
,,,velvet,4.55799
,,,barn spider,3.9189253
