mobilenet_v3_1.0_224_small_uint8,label,0.1357250213623047
,,,digital clock,5.7393627
,,,spotlight,5.5034986
,,,window screen,4.1669345
,,,nematode,4.088313
,,,oscilloscope,4.0096917
mobilenet_v3_1.0_224_small_uint8,label,0.1377089023590088
,,,digital clock,5.424877
,,,spotlight,5.110391
,,,nematode,4.1669345
,,,window screen,3.9310703
,,,match,3.6165848
mobilenet_v3_1.0_224_small_uint8,label,0.13782763481140137
,,,spotlight,5.6607413
,,,digital clock,5.58212
,,,window screen,4.3241773
,,,match,4.088313
,,,nematode,3.9310703
mobilenet_v3_1.0_224_small_uint8,label,0.14230751991271973
,,,digital clock,5.7393627
,,,spotlight,5.2676344
,,,nematode,4.7959056
,,,match,3.9310703
,,,window screen,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.13065671920776367
,,,spotlight,5.2676344
,,,digital clock,5.1890125
,,,nematode,4.1669345
,,,match,4.1669345
,,,window screen,3.6165848
mobilenet_v3_1.0_224_small_uint8,label,0.12801599502563477
,,,digital clock,5.817984
,,,spotlight,5.1890125
,,,nematode,4.4027987
,,,window screen,4.3241773
,,,oscilloscope,3.9310703
mobilenet_v3_1.0_224_small_uint8,label,0.12605619430541992
,,,digital clock,5.346256
,,,spotlight,5.110391
,,,nematode,4.5600414
,,,match,3.9310703
,,,window screen,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.12499856948852539
,,,digital clock,5.5034986
,,,spotlight,4.9531484
,,,nematode,4.4027987
,,,window screen,4.3241773
,,,oscilloscope,4.088313
mobilenet_v3_1.0_224_small_uint8,label,0.14258980751037598
,,,digital clock,5.6607413
,,,spotlight,5.1890125
,,,nematode,4.4027987
,,,oscilloscope,4.088313
,,,window screen,3.9310703
mobilenet_v3_1.0_224_small_uint8,label,0.12730002403259277
,,,digital clock,5.58212
,,,spotlight,5.0317698
,,,nematode,4.717284
,,,match,3.852449
,,,oscilloscope,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.127150297164917
,,,digital clock,5.6607413
,,,spotlight,5.2676344
,,,nematode,4.874527
,,,match,4.088313
,,,oscilloscope,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.13559246063232422
,,,digital clock,5.58212
,,,spotlight,5.346256
,,,nematode,4.4027987
,,,match,4.1669345
,,,window screen,4.0096917
mobilenet_v3_1.0_224_small_uint8,label,0.13405799865722656
,,,digital clock,5.424877
,,,spotlight,5.0317698
,,,nematode,4.48142
,,,oscilloscope,3.9310703
,,,match,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.12758183479309082
,,,digital clock,5.7393627
,,,spotlight,5.2676344
,,,nematode,4.717284
,,,match,3.9310703
,,,oscilloscope,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.14973783493041992
,,,digital clock,5.5034986
,,,spotlight,5.346256
,,,nematode,4.245556
,,,match,3.9310703
,,,window screen,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.13547587394714355
,,,digital clock,5.424877
,,,spotlight,5.346256
,,,nematode,4.088313
,,,window screen,3.7738276
,,,oscilloscope,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.132490873336792
,,,digital clock,5.346256
,,,spotlight,5.0317698
,,,nematode,4.1669345
,,,window screen,4.0096917
,,,match,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.13059306144714355
,,,digital clock,5.424877
,,,spotlight,5.1890125
,,,nematode,4.48142
,,,window screen,4.0096917
,,,match,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.12679147720336914
,,,digital clock,5.5034986
,,,spotlight,5.2676344
,,,nematode,4.5600414
,,,match,4.3241773
,,,window screen,4.0096917
mobilenet_v3_1.0_224_small_uint8,label,0.13662266731262207
,,,digital clock,5.6607413
,,,spotlight,5.424877
,,,nematode,4.3241773
,,,window screen,4.088313
,,,oscilloscope,3.9310703
mobilenet_v3_1.0_224_small_uint8,label,0.14902853965759277
,,,digital clock,5.424877
,,,spotlight,5.0317698
,,,nematode,4.088313
,,,window screen,3.852449
,,,match,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.16417527198791504
,,,digital clock,5.424877
,,,spotlight,5.346256
,,,nematode,4.5600414
,,,match,4.1669345
,,,window screen,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.12480282783508301
,,,digital clock,5.5034986
,,,spotlight,5.0317698
,,,nematode,4.3241773
,,,match,3.7738276
,,,oscilloscope,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.12716889381408691
,,,digital clock,5.2676344
,,,spotlight,5.1890125
,,,nematode,4.3241773
,,,match,3.852449
,,,window screen,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.12696027755737305
,,,digital clock,5.424877
,,,spotlight,5.1890125
,,,nematode,4.5600414
,,,match,4.0096917
,,,window screen,3.5379634
mobilenet_v3_1.0_224_small_uint8,label,0.13251399993896484
,,,digital clock,5.6607413
,,,spotlight,5.2676344
,,,nematode,4.48142
,,,oscilloscope,3.9310703
,,,match,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.13709330558776855
,,,digital clock,5.7393627
,,,spotlight,5.110391
,,,nematode,4.5600414
,,,match,4.245556
,,,window screen,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.13814759254455566
,,,digital clock,6.0538483
,,,spotlight,5.424877
,,,nematode,5.0317698
,,,oscilloscope,4.245556
,,,match,4.088313
mobilenet_v3_1.0_224_small_uint8,label,0.13933467864990234
,,,digital clock,5.1890125
,,,spotlight,5.0317698
,,,nematode,4.3241773
,,,match,3.9310703
,,,window screen,3.5379634
mobilenet_v3_1.0_224_small_uint8,label,0.132979154586792
,,,digital clock,5.6607413
,,,spotlight,5.424877
,,,nematode,4.874527
,,,match,4.4027987
,,,oscilloscope,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.12694191932678223
,,,spotlight,5.424877
,,,digital clock,5.424877
,,,nematode,4.088313
,,,window screen,4.0096917
,,,match,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.1347215175628662
,,,digital clock,5.424877
,,,spotlight,5.0317698
,,,nematode,4.5600414
,,,match,3.9310703
,,,oscilloscope,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.13702702522277832
,,,digital clock,5.2676344
