ModelName,Label,InferenceTime,Recognition,Accuracy
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.003535747528076172
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035390853881835938
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035429000854492188
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035254955291748047
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035407543182373047
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035429000854492188
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.003550291061401367
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035381317138671875
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035321712493896484
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035398006439208984
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035419464111328125
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0037841796875
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.003693103790283203
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0036835670471191406
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.003693103790283203
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035326480865478516
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.003533601760864258
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.003541707992553711
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035440921783447266
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.003531932830810547
,,,nematode,22
,,,match,6
,,,velvet,5
,,,spotlight,5
,,,vine snake,4
mobilenet_v3_1.0_224_large_minimalistic_uint8.tflite,label,0.0035424232482910156
,,,nematode,22
,,,match,6
,,,velvet,5
