ModelName,Label,InferenceTime,Recognition,Accuracy
mobilenet_v1_0.75_160_quant,label,0.008414268493652344
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.00839996337890625
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008963823318481445
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008443355560302734
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008414268493652344
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008440256118774414
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008400440216064453
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.00841975212097168
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008401870727539062
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008894920349121094
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008805990219116211
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008812904357910156
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.00878596305847168
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008777379989624023
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008773565292358398
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008796215057373047
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008850336074829102
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008773088455200195
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
mobilenet_v1_0.75_160_quant,label,0.008799552917480469
,,,match,13
,,,nematode,13
,,,digital clock,8
,,,spotlight,5
,,,lighter,3
