ModelName,Label,InferenceTime,Recognition,Accuracy
,,,front curtain,4.243662
mobilenet_v2_0.5_160,label,0.031243465266774403
,,,nematode,5.631902
,,,digital clock,5.021664
,,,spotlight,4.8454
,,,match,4.69004
,,,front curtain,4.236138
mobilenet_v2_0.5_160,label,0.031940741533689455
,,,nematode,5.6412287
,,,digital clock,5.0242124
,,,spotlight,4.8548245
,,,match,4.6859245
,,,front curtain,4.248018
mobilenet_v2_0.5_160,label,0.030701755614494668
,,,nematode,5.6360035
,,,digital clock,5.0167103
,,,spotlight,4.8529725
,,,match,4.6981664
,,,front curtain,4.232092
mobilenet_v2_0.5_160,label,0.031249422230105278
,,,nematode,5.633383
,,,digital clock,5.01159
,,,spotlight,4.8399186
,,,match,4.692895
,,,front curtain,4.2287436
mobilenet_v2_0.5_160,label,0.030812448487000967
,,,nematode,5.6251802
,,,digital clock,5.0192056
,,,spotlight,4.8289595
,,,match,4.676304
,,,front curtain,4.2448773
mobilenet_v2_0.5_160,label,0.031259426270147564
,,,nematode,5.6363444
,,,digital clock,5.019331
,,,spotlight,4.8553243
,,,match,4.6869555
,,,front curtain,4.2299957
mobilenet_v2_0.5_160,label,0.03124995999995926
,,,nematode,5.620662
,,,digital clock,5.0153704
,,,spotlight,4.853693
,,,match,4.678928
,,,front curtain,4.232479
mobilenet_v2_0.5_160,label,0.03062088498716678
,,,nematode,5.6311536
,,,digital clock,5.011031
,,,spotlight,4.8504558
,,,match,4.6844897
,,,front curtain,4.230953
mobilenet_v2_0.5_160,label,0.03073507602638948
,,,nematode,5.628588
,,,digital clock,5.015647
,,,spotlight,4.8435464
,,,match,4.676967
,,,front curtain,4.2274265
mobilenet_v2_0.5_160,label,0.02963903407663632
,,,nematode,5.6267037
,,,digital clock,5.0123005
,,,spotlight,4.8346963
,,,match,4.6855087
,,,front curtain,4.2426023
mobilenet_v2_0.5_160,label,0.029620002980396767
,,,nematode,5.6408367
,,,digital clock,5.031068
,,,spotlight,4.8646646
,,,match,4.6958027
,,,front curtain,4.23913
mobilenet_v2_0.5_160,label,0.030662480192256203
,,,nematode,5.643026
,,,digital clock,5.0258255
,,,spotlight,4.8567524
,,,match,4.686253
,,,front curtain,4.243328
mobilenet_v2_0.5_160,label,0.03072680881392173
,,,nematode,5.6489034
,,,digital clock,5.0316033
,,,spotlight,4.857662
,,,match,4.7052317
,,,front curtain,4.243386
mobilenet_v2_0.5_160,label,0.031012336188166574
,,,nematode,5.6288033
,,,digital clock,5.0149717
,,,spotlight,4.8295617
,,,match,4.682449
,,,front curtain,4.2321334
mobilenet_v2_0.5_160,label,0.029822125466188655
,,,nematode,5.6324835
,,,digital clock,5.019089
,,,spotlight,4.846655
,,,match,4.678048
,,,front curtain,4.228965
mobilenet_v2_0.5_160,label,0.030322209000305682
,,,nematode,5.631569
,,,digital clock,5.0151877
,,,spotlight,4.847247
,,,match,4.692441
,,,front curtain,4.2365603
mobilenet_v2_0.5_160,label,0.030720702258964762
,,,nematode,5.631047
,,,digital clock,5.0180883
,,,spotlight,4.8410473
,,,match,4.6806955
,,,front curtain,4.242421
mobilenet_v2_0.5_160,label,0.03133647422891159
,,,nematode,5.6346536
,,,digital clock,5.008247
,,,spotlight,4.8452992
,,,match,4.6857586
,,,front curtain,4.248348
mobilenet_v2_0.5_160,label,0.03065173303221697
,,,nematode,5.6318955
,,,digital clock,5.014112
,,,spotlight,4.844624
,,,match,4.686549
,,,front curtain,4.228416
mobilenet_v2_0.5_160,label,0.03126200151420705
,,,nematode,5.617361
,,,digital clock,5.016627
,,,spotlight,4.8528566
,,,match,4.6883907
,,,front curtain,4.229652
mobilenet_v2_0.5_160,label,0.03133488450345714
,,,nematode,5.6342974
,,,digital clock,5.013504
,,,spotlight,4.8263774
,,,match,4.6758294
,,,front curtain,4.2330313
mobilenet_v2_0.5_160,label,0.030261250348457638
,,,nematode,5.6285815
,,,digital clock,5.0177107
,,,spotlight,4.8569427
,,,match,4.6869836
,,,front curtain,4.2314267
mobilenet_v2_0.5_160,label,0.03149096431574901
,,,nematode,5.624015
,,,digital clock,5.01518
,,,spotlight,4.8483834
,,,match,4.684715
,,,front curtain,4.228504
mobilenet_v2_0.5_160,label,0.030835688956012047
,,,nematode,5.6277766
,,,digital clock,5.0159283
,,,spotlight,4.843554
,,,match,4.6809297
,,,front curtain,4.2435975
mobilenet_v2_0.5_160,label,0.031572927035983675
,,,nematode,5.638029
,,,digital clock,5.0194006
,,,spotlight,4.8341374
,,,match,4.667933
,,,front curtain,4.221219
mobilenet_v2_0.5_160,label,0.03044504301236298
,,,nematode,5.628912
,,,digital clock,5.0167217
,,,spotlight,4.8552074
,,,match,4.6817904
,,,front curtain,4.2298036
mobilenet_v2_0.5_160,label,0.0298212898471612
,,,nematode,5.619893
,,,digital clock,5.016781
,,,spotlight,4.8342433
,,,match,4.682501
,,,front curtain,4.226726
mobilenet_v2_0.5_160,label,0.030378477648996035
,,,nematode,5.6406827
,,,digital clock,5.0254774
,,,spotlight,4.851423
,,,match,4.6938643
,,,front curtain,4.229888
mobilenet_v2_0.5_160,label,0.029948262753633548
,,,nematode,5.6264563
,,,digital clock,5.014403
,,,spotlight,4.851836
,,,match,4.688131
,,,front curtain,4.2269974
mobilenet_v2_0.5_160,label,0.029956001356329854
,,,nematode,5.6284175
,,,digital clock,5.016795
,,,spotlight,4.861125
,,,match,4.6951756
,,,front curtain,4.2357564
mobilenet_v2_0.5_160_quant,label,0.04562712172970687
,,,digital clock,4.899744
,,,nematode,4.6700687
,,,spotlight,4.2872763
,,,velvet,3.7513666
,,,speaker,3.5982497
mobilenet_v2_0.5_160_quant,label,0.04695364049376708
,,,digital clock,4.823186
,,,nematode,4.59351
,,,spotlight,4.2107177
,,,velvet,3.7513666
,,,speaker,3.5982497
mobilenet_v2_0.5_160_quant,label,0.04613232655160741
,,,digital clock,4.899744
,,,nematode,4.6700687
,,,spotlight,4.2872763
,,,velvet,3.8279252
,,,speaker,3.5982497
mobilenet_v2_0.5_160_quant,label,0.046605217363715
,,,digital clock,4.899744
,,,nematode,4.6700687
,,,spotlight,4.363835
,,,velvet,3.7513666
,,,speaker,3.521691
mobilenet_v2_0.5_160_quant,label,0.04625621719422539
,,,digital clock,4.9763026
,,,nematode,4.7466273
,,,spotlight,4.363835
,,,velvet,3.8279252
,,,speaker,3.6748083
mobilenet_v2_0.5_160_quant,label,0.046685757700596436
,,,digital clock,4.823186
,,,nematode,4.6700687
,,,spotlight,4.363835
,,,velvet,3.7513666
,,,speaker,3.5982497
mobilenet_v2_0.5_160_quant,label,0.04933944384720854
,,,digital clock,4.823186
,,,nematode,4.59351
,,,spotlight,4.363835
,,,velvet,3.6748083
,,,front curtain,3.521691
mobilenet_v2_0.5_160_quant,label,0.047492621383197056
,,,digital clock,4.899744
,,,nematode,4.7466273
,,,spotlight,4.363835
,,,velvet,3.8279252
,,,front curtain,3.5982497
mobilenet_v2_0.5_160_quant,label,0.04728513880589337
,,,digital clock,4.9763026
,,,nematode,4.7466273
,,,spotlight,4.363835
,,,velvet,3.7513666
,,,match,3.5982497
mobilenet_v2_0.5_160_quant,label,0.04988433163289553
,,,digital clock,4.7466273
,,,nematode,4.5169516
,,,spotlight,4.2872763
,,,velvet,3.6748083
,,,match,3.4451327
mobilenet_v2_0.5_160_quant,label,0.04831847954140206
,,,digital clock,4.823186
,,,nematode,4.59351
,,,spotlight,4.2872763
,,,velvet,3.7513666
,,,speaker,3.521691
mobilenet_v2_0.5_160_quant,label,0.04851238817413886
,,,digital clock,4.899744
,,,nematode,4.6700687
,,,spotlight,4.363835
,,,velvet,3.7513666
,,,speaker,3.521691
mobilenet_v2_0.5_160_quant,label,0.049252805322541816
,,,digital clock,4.823186
,,,nematode,4.59351
,,,spotlight,4.2872763
,,,velvet,3.6748083
,,,match,3.521691
mobilenet_v2_0.5_160_quant,label,0.04645941294955679
,,,digital clock,4.9763026
,,,nematode,4.7466273
,,,spotlight,4.363835
,,,velvet,3.8279252
,,,speaker,3.5982497
mobilenet_v2_0.5_160_quant,label,0.04745638259334801
,,,digital clock,4.899744
,,,nematode,4.7466273
,,,spotlight,4.2872763
,,,velvet,3.8279252
,,,speaker,3.5982497
mobilenet_v2_0.5_160_quant,label,0.047268429388252736
,,,digital clock,4.899744
,,,nematode,4.7466273
,,,spotlight,4.440393
,,,velvet,3.7513666
,,,match,3.5982497
mobilenet_v2_0.5_160_quant,label,0.048554685360095745
,,,digital clock,4.823186
,,,nematode,4.6700687
,,,spotlight,4.363835
,,,velvet,3.6748083
,,,match,3.5982497
mobilenet_v2_0.5_160_quant,label,0.047644855835868694
,,,digital clock,4.823186
,,,nematode,4.59351
,,,spotlight,4.2872763
,,,velvet,3.6748083
,,,speaker,3.521691
mobilenet_v2_0.5_160_quant,label,0.047279914134369425
,,,digital clock,4.823186
