ModelName,Label,InferenceTime,Recognition,Accuracy
mobilenet_v1_0.5_128_quant,label,0.030767702319498193
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.0165586
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.030409744485555765
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,lampshade,3.87311
mobilenet_v1_0.5_128_quant,label,0.029760870015691804
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.0165586
,,,digital clock,3.87311
mobilenet_v1_0.5_128_quant,label,0.031077992917607652
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,digital clock,3.87311
mobilenet_v1_0.5_128_quant,label,0.03202499526646994
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,digital clock,3.87311
mobilenet_v1_0.5_128_quant,label,0.03163791868624611
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.0165586
,,,digital clock,3.87311
mobilenet_v1_0.5_128_quant,label,0.02990443815772092
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,lampshade,3.87311
mobilenet_v1_0.5_128_quant,label,0.029719713789397917
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.03142361493666969
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.0165586
,,,lampshade,3.87311
mobilenet_v1_0.5_128_quant,label,0.03081395344435184
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.3034554
,,,digital clock,4.0165586
,,,jack-o'-lantern,4.0165586
mobilenet_v1_0.5_128_quant,label,0.030679644134678233
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.0165586
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.03012849767671823
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.160007
,,,digital clock,4.0165586
,,,jack-o'-lantern,4.0165586
mobilenet_v1_0.5_128_quant,label,0.0314230052099649
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.030342597144719693
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.03089654825385275
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.160007
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.03118114544413589
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,lampshade,3.87311
mobilenet_v1_0.5_128_quant,label,0.030115860550211863
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.160007
,,,digital clock,4.0165586
,,,jack-o'-lantern,4.0165586
mobilenet_v1_0.5_128_quant,label,0.031013651608949158
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,lampshade,3.87311
mobilenet_v1_0.5_128_quant,label,0.030136823311580897
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.0165586
,,,digital clock,3.87311
mobilenet_v1_0.5_128_quant,label,0.031647089782591016
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,lampshade,3.87311
mobilenet_v1_0.5_128_quant,label,0.030905991252505646
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,digital clock,3.87311
mobilenet_v1_0.5_128_quant,label,0.0297839987720217
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.160007
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.02985021472873916
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.0165586
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.030194867487994145
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.0165586
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.02983719398872294
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,lampshade,3.87311
mobilenet_v1_0.5_128_quant,label,0.0298084646547478
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.030187650191777878
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,digital clock,3.87311
mobilenet_v1_0.5_128_quant,label,0.02981497768210078
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,digital clock,3.87311
mobilenet_v1_0.5_128_quant,label,0.029946789169265287
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,digital clock,4.0165586
mobilenet_v1_0.5_128_quant,label,0.031183945283683227
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.160007
,,,jack-o'-lantern,4.0165586
,,,lampshade,3.87311
mobilenet_v1_0.5_128_quant,label,0.030821263348041743
,,,nematode,4.8772497
,,,spotlight,4.5903525
,,,match,4.3034554
,,,digital clock,4.0165586
,,,jack-o'-lantern,4.0165586
mobilenet_v1_0.5_128_quant,label,0.0296686854385545
,,,nematode,5.020698
,,,spotlight,4.5903525
,,,match,4.3034554
,,,jack-o'-lantern,4.0165586
,,,digital clock,4.0165586
mobilenet_v1_0.25_160,label,0.010681674441771745
,,,nematode,5.201746
,,,match,4.4864583
,,,digital clock,4.133198
,,,spotlight,4.0296855
,,,jack-o'-lantern,3.9460504
mobilenet_v1_0.25_160,label,0.010820455668307402
,,,nematode,5.1242695
,,,match,4.4317007
,,,digital clock,4.079091
,,,spotlight,3.9864426
,,,jack-o'-lantern,3.911341
mobilenet_v1_0.25_160,label,0.011387804931719965
,,,nematode,5.1744556
,,,match,4.456078
,,,digital clock,4.117352
,,,spotlight,4.0059257
,,,jack-o'-lantern,3.9515731
mobilenet_v1_0.25_160,label,0.011271859427841847
,,,nematode,5.1517963
,,,match,4.438743
,,,digital clock,4.0750227
,,,spotlight,3.9866939
,,,jack-o'-lantern,3.9172065
mobilenet_v1_0.25_160,label,0.011241371908522825
,,,nematode,5.1344223
,,,match,4.4439898
,,,digital clock,4.0900235
,,,spotlight,3.9948635
,,,jack-o'-lantern,3.9265401
mobilenet_v1_0.25_160,label,0.011006260363700055
,,,nematode,5.1375318
,,,match,4.4467025
,,,digital clock,4.0977693
,,,spotlight,3.999205
,,,jack-o'-lantern,3.9272163
mobilenet_v1_0.25_160,label,0.011118429866334658
,,,nematode,5.1609797
,,,match,4.455458
,,,digital clock,4.0989723
,,,spotlight,3.995006
,,,jack-o'-lantern,3.9313648
mobilenet_v1_0.25_160,label,0.010958962246085965
,,,nematode,5.1356735
,,,match,4.4428096
,,,digital clock,4.109058
,,,spotlight,4.0017133
,,,jack-o'-lantern,3.9184926
mobilenet_v1_0.25_160,label,0.010732486574527593
,,,nematode,5.127057
,,,match,4.4398737
,,,digital clock,4.098338
,,,spotlight,4.000166
,,,jack-o'-lantern,3.934498
mobilenet_v1_0.25_160,label,0.01127767216133806
,,,nematode,5.1604357
,,,match,4.447533
,,,digital clock,4.0971417
,,,spotlight,4.0001206
,,,jack-o'-lantern,3.9304416
mobilenet_v1_0.25_160,label,0.010780353105502018
,,,nematode,5.1185246
,,,match,4.432393
,,,digital clock,4.066206
,,,spotlight,4.00183
,,,jack-o'-lantern,3.9065335
mobilenet_v1_0.25_160,label,0.010965766641797643
,,,nematode,5.1745276
,,,match,4.4575834
,,,digital clock,4.1006618
,,,spotlight,3.99826
,,,jack-o'-lantern,3.9209855
mobilenet_v1_0.25_160,label,0.010591595516605202
,,,nematode,5.156759
,,,match,4.4646506
,,,digital clock,4.1137447
,,,spotlight,4.0196953
,,,jack-o'-lantern,3.957134
mobilenet_v1_0.25_160,label,0.010980634137684984
,,,nematode,5.1151805
,,,match,4.431272
,,,digital clock,4.091941
,,,spotlight,3.9861107
,,,jack-o'-lantern,3.9166996
mobilenet_v1_0.25_160,label,0.011023316773134829
,,,nematode,5.1498075
,,,match,4.445856
,,,digital clock,4.092123
,,,spotlight,3.991746
,,,jack-o'-lantern,3.9332345
mobilenet_v1_0.25_160,label,0.011381306229524496
,,,nematode,5.1586227
,,,match,4.4651566
,,,digital clock,4.107043
,,,spotlight,4.013482
,,,jack-o'-lantern,3.9369085
mobilenet_v1_0.25_160,label,0.011438467228787295
,,,nematode,5.1643906
,,,match,4.4604535
,,,digital clock,4.100648
,,,spotlight,3.9933033
,,,jack-o'-lantern,3.9240744
mobilenet_v1_0.25_160,label,0.010977094162661467
,,,nematode,5.1684155
,,,match,4.452009
,,,digital clock,4.1075683
,,,spotlight,3.9973173
,,,jack-o'-lantern,3.9445136
mobilenet_v1_0.25_160,label,0.011092423019648748
,,,nematode,5.1473556
,,,match,4.4612517
,,,digital clock,4.101756
,,,spotlight,4.00858
,,,jack-o'-lantern,3.945224
mobilenet_v1_0.25_160,label,0.010680109583316593
,,,nematode,5.1903462
,,,match,4.473922
,,,digital clock,4.1209173
,,,spotlight,3.9975863
,,,jack-o'-lantern,3.955857
mobilenet_v1_0.25_160,label,0.01081365250172917
,,,nematode,5.1991835
,,,match,4.478287
,,,digital clock,4.126073
,,,spotlight,4.017446
,,,jack-o'-lantern,3.9482372
mobilenet_v1_0.25_160,label,0.010831872088553563
,,,nematode,5.1612034
,,,match,4.4418316
,,,digital clock,4.0932217
,,,spotlight,3.9881797
,,,jack-o'-lantern,3.9260342
mobilenet_v1_0.25_160,label,0.010768051626957572
,,,nematode,5.161987
,,,match,4.4723926
,,,digital clock,4.1090703
,,,spotlight,4.0207
,,,jack-o'-lantern,3.9251797
mobilenet_v1_0.25_160,label,0.010847637700476323
,,,nematode,5.149006
,,,match,4.457854
,,,digital clock,4.089866
,,,spotlight,4.000381
,,,jack-o'-lantern,3.9149182
mobilenet_v1_0.25_160,label,0.010987286245061364
,,,nematode,5.0903745
,,,match,4.410173
,,,digital clock,4.069247
,,,spotlight,3.9716735
,,,jack-o'-lantern,3.905938
mobilenet_v1_0.25_160,label,0.010607815293315241
,,,nematode,5.144094
,,,match,4.4549837
,,,digital clock,4.0948
,,,spotlight,3.9953556
,,,jack-o'-lantern,3.9330256
mobilenet_v1_0.25_160,label,0.010621454777632294
,,,nematode,5.142746
,,,match,4.433564
,,,digital clock,4.079307
,,,spotlight,3.968042
,,,jack-o'-lantern,3.9077795
mobilenet_v1_0.25_160,label,0.010775685396539952
,,,nematode,5.175438
,,,match,4.4836454
,,,digital clock,4.1421137
,,,spotlight,4.0317216
,,,jack-o'-lantern,3.9780657
mobilenet_v1_0.25_160,label,0.01117492753218772
,,,nematode,5.16566
,,,match,4.4415965
,,,digital clock,4.0900187
,,,spotlight,3.9971352
,,,jack-o'-lantern,3.9128602
mobilenet_v1_0.25_160,label,0.010688552139494907
,,,nematode,5.1353297
,,,match,4.442873
,,,digital clock,4.096966
,,,spotlight,3.9994164
,,,jack-o'-lantern,3.9163268
mobilenet_v1_0.25_160,label,0.010786355578441178
,,,nematode,5.130327
,,,match,4.4572167
,,,digital clock,4.099361
,,,spotlight,4.0082107
,,,jack-o'-lantern,3.9272006
mobilenet_v1_0.25_160,label,0.010668463111488087
,,,nematode,5.146316
,,,match,4.445588
,,,digital clock,4.0967402
,,,spotlight,3.99395
,,,jack-o'-lantern,3.9244888
mobilenet_v1_0.5_192,label,0.044203576854360584
,,,nematode,4.8540187
,,,match,4.738121
,,,digital clock,4.29562
,,,spotlight,3.9552984
,,,jack-o'-lantern,3.5719075
mobilenet_v1_0.5_192,label,0.041972686934073515
,,,nematode,4.906847
,,,match,4.788052
,,,digital clock,4.282111
,,,spotlight,3.9590712
,,,jack-o'-lantern,3.5422
mobilenet_v1_0.5_192,label,0.04288216359390127
,,,nematode,4.8923807
,,,match,4.78071
,,,digital clock,4.295137
,,,spotlight,3.9848225
,,,jack-o'-lantern,3.573624
mobilenet_v1_0.5_192,label,0.041666572968185815
,,,nematode,4.884822
,,,match,4.788417
,,,digital clock,4.307176
,,,spotlight,4.0074
,,,jack-o'-lantern,3.5702758
mobilenet_v1_0.5_192,label,0.042643588173055726
,,,nematode,4.847745
,,,match,4.7222047
,,,digital clock,4.2578297
,,,spotlight,3.952783
,,,jack-o'-lantern,3.5209036
mobilenet_v1_0.5_192,label,0.04334597403042337
,,,nematode,4.9346113
,,,match,4.769826
,,,digital clock,4.323271
,,,spotlight,3.9994256
,,,jack-o'-lantern,3.5846956
